InnerRadius,Length,Quadratic,Linear,InnerRadius2,Length2,Quadratic2,Linear2,Generation,Fitness
2.240060,37.7338,-0.004342,0.212892,5.877650,37.7798,-0.002857,-0.018368000000000002,1,5.29587
5.787090,79.3711,-0.001187,0.05182899999999999,4.107510,95.6134,0.000592,-0.053114999999999996,1,4.77862
6.249200,49.9777,0.002439,-0.129987,3.770850,95.8996,-0.000356,0.024653,1,5.08542
1.068890,42.8384,-0.005692,0.338187,6.843870,42.322,0.001418,-0.174129,1,5.60262
3.127850,49.444,-0.005337,0.28793,2.466930,37.4621,-0.0043950000000000005,0.134797,1,5.20315
5.970840,42.676,0.006052,-0.278886,0.198267,49.2738,0.0013109999999999999,0.026432,1,4.99619
4.046690,46.1953,0.002728,-0.142649,7.112610,118.426,0.00118,-0.17338800000000001,1,5.04633
4.018990,56.9588,0.001657,-0.157841,5.197620,44.2848,-0.002261,0.0022649999999999997,1,5.04127
6.340220,53.7446,0.003315,-0.26760700000000004,4.241150,56.5755,0.002449,-0.173894,1,5.16455
4.707570,76.8254,-0.000709,0.076769,7.058920,84.3901,0.003078,-0.275586,1,5.04442
2.902960,54.0926,-0.001408,0.060049,4.622280,38.513,0.008075,-0.277617,1,5.201309999999999
5.944570,56.2478,0.005335,-0.34363499999999997,5.404990,39.2727,0.011635,-0.459455,1,5.14686
1.461600,54.8506,-0.002723,0.242123,2.955130,41.1177,-0.0062369999999999995,0.266897,1,5.06105
3.971990,83.5625,0.00035499999999999996,-0.026688,1.094650,78.4111,-0.002558,0.200961,1,5.14904
1.677020,20.3532,0.024975999999999998,-0.22541399999999998,4.784190,16.2073,0.010112999999999999,-0.030348000000000003,1,5.47661
5.152790,18.5897,0.033513999999999995,-0.724911,5.780720,37.1146,0.004148,-0.289003,1,5.59333
6.594600,18.9995,0.001302,-0.119499,4.588280,12.448,-0.034012,0.361512,1,5.6927
3.794870,16.5706,-0.046956,0.8143199999999999,3.938540,11.7212,0.046973,-0.521896,1,5.46413
4.707570,39.8914,-0.001778,0.11653499999999999,6.549000,80.6231,0.003078,-0.275586,2,5.24429
0.348172,80.7833,-0.000709,0.076769,3.451960,84.3901,0.002251,-0.161422,2,4.65479
4.201000,50.7512,0.004156,-0.17496,2.955130,69.0625,0.001204,-0.110404,2,5.30788
2.155020,42.9699,0.0057020000000000005,-0.154108,2.682140,41.9875,-0.00734,0.25361300000000003,2,5.1630199999999995
1.491940,53.3037,-0.002366,0.219234,4.622280,36.6377,-0.005268,0.179585,2,5.19455
5.944570,58.8032,0.005335,-0.333342,5.274550,39.5897,0.011635,-0.441234,2,5.098269999999999
0.049098,43.8749,-0.007295,0.46121,0.285692,36.5188,-0.010801999999999999,0.46758299999999997,2,5.464169999999999
4.739340,41.8505,0.003675,-0.207222,6.016670,35.8813,0.011722,-0.508524,2,5.4789
3.787480,42.8384,0.003675,-0.232251,5.877650,37.7798,-0.00267,0.024549,2,5.42699
2.240060,37.7338,-0.004342,0.212892,4.128660,41.5755,-0.000356,-0.018368000000000002,2,5.3044400000000005
1.771840,44.5895,0.005345,-0.157953,0.693142,61.6883,-0.004145,0.330415,2,4.97593
6.367150,40.2712,-0.004873,0.098087,2.819540,39.5897,0.003677,-0.200942,2,5.30521
3.881290,91.1859,0.001538,-0.149041,2.934730,53.1954,-0.002611,0.11264,2,5.22279
1.968920,68.2552,0.000949,-0.046939999999999996,2.893930,61.398,-0.001302,0.093083,2,4.82396
5.970840,47.0126,0.006052,-0.298358,6.135490,35.3708,0.011156999999999999,-0.484896,2,5.1844
6.249200,41.5699,0.002322,-0.13965,2.466930,38.4759,-0.0043950000000000005,0.132825,2,5.33476
